frame_num,bbox,class,id
25,[400.30046441  58.10240553 440.42897858 103.43234413],person,9
25,[246.23156751 157.6911763  329.22956776 240.70144348],dining table,11
26,[236.85471109  59.99692338 268.12071532 140.        ],person,1
26,[251.52180218 157.98731738 326.68363819 236.44719533],chair,2
26,[176.35484271 198.93707997 239.64807585 308.85036256],chair,3
26,[ 79.15485775 136.28844277 137.48171148 232.98886266],person,4
26,[324.14951219  65.22573862 366.8290763  141.35935873],person,6
26,[301.79295507  65.52978158 327.90882997 149.66615752],person,8
26,[399.08488652  58.0515499  439.54825436 104.45431908],person,9
26,[245.46276038 157.2406902  329.07155853 240.86068264],dining table,11
27,[237.14983693  59.99620825 268.48546906 140.        ],person,1
27,[251.30761308 157.98719358 326.79269117 236.7530384 ],chair,2
27,[176.28489442 198.99922484 239.6387092  308.91017091],chair,3
27,[ 79.08804279 136.10894826 137.13704719 232.33372235],person,4
27,[324.98866005  66.31027887 366.6541516  140.4508923 ],person,6
27,[300.19623381  65.11757045 327.04583958 149.91522305],person,8
27,[397.70014229  58.08853671 438.21155831 104.54643854],person,9
27,[245.45846622 157.07370633 328.72996595 240.26168581],dining table,11
28,[237.24357915  59.99624215 268.64210495 140.        ],person,1
28,[250.64813476 157.98800115 326.08590931 236.87278213],chair,2
28,[176.41527239 198.35847268 240.81071492 310.26057983],chair,3
28,[ 79.15392388 135.37788172 136.91450883 231.42432792],person,4
28,[324.44983156  65.40339712 366.7813904  141.43842407],person,6
28,[298.34131152  63.65560101 326.6505694  150.66292341],person,8
28,[398.75160653  57.25254942 439.72039718 104.91889822],person,9
28,[244.86011526 157.01157705 328.5335727  240.70222941],dining table,11
29,[237.37265399  60.65737497 268.6062773  140.        ],person,1
29,[250.98198189 157.98916481 325.23545836 235.59920913],chair,2
29,[175.99990931 198.11702974 240.40585813 310.11161036],chair,3
29,[ 78.02588502 133.77983332 137.98459795 234.39442559],person,4
29,[320.5121441   62.45192045 365.9799201  145.07992811],person,6
29,[296.68096609  64.41037675 325.51697476 150.29189087],person,8
29,[398.51585654  57.06623846 439.58549503 105.68085858],person,9
29,[244.94558457 156.98970688 328.15170339 240.21130438],dining table,11
30,[237.39564146  60.9071823  268.6163714  140.        ],person,1
30,[251.51680832 157.99049207 327.17423409 237.12085076],chair,2
30,[176.14576733 197.36618368 241.92694854 312.03031757],chair,3
30,[ 78.13504202 133.83801668 138.50372842 236.14759183],person,4
30,[318.31303687  60.71084089 365.12830739 146.44452379],person,6
30,[296.11045105  64.71989796 325.68794069 150.79861001],person,8
30,[398.97762202  56.99974722 439.02197425 105.30057001],person,9
30,[245.35728806 156.98315406 328.95789764 240.69170271],dining table,11
31,[237.45781997  60.3356437  269.2270362  140.        ],person,1
31,[250.77493718 157.99145425 326.1991048  237.02988784],chair,2
31,[177.11130686 198.39305261 241.59062476 310.13428774],chair,3
31,[ 78.34217165 133.87062113 138.54279016 236.82269366],person,4
31,[319.96796541  61.95963176 364.84055283 145.69108709],person,6
31,[294.22554182  61.55664947 324.81912483 149.01276417],person,8
31,[400.97142567  57.6347521  439.70191218 104.48935659],person,9
31,[244.87651451 156.98206045 328.57789401 240.87562974],dining table,11
32,[238.25983816  60.77873974 269.99461617 140.        ],person,1
32,[250.52657407 157.9924737  325.78639983 236.99662755],chair,2
32,[176.99835497 198.13272194 241.9439775  310.71568526],chair,3
32,[ 79.78246623 135.85417966 137.19600599 233.79762792],person,4
32,[321.02368779  62.49093094 364.37162811 144.70832869],person,6
32,[294.16278415  66.25486055 323.21252451 147.68020996],person,8
32,[402.33376608  57.87974404 440.77288335 104.83996249],person,9
32,[244.99947535 156.9830097  328.78954876 240.94724832],dining table,11
33,[238.3158145   60.28368613 270.52817586 140.        ],person,1
33,[251.11632909 157.99337265 325.6107587  236.324465  ],chair,2
33,[177.07956393 198.03638816 242.60708384 311.5891986 ],chair,3
33,[ 79.60974089 134.62496671 138.07144553 235.28175553],person,4
33,[321.92477558  62.70875577 363.7141773  143.00408688],person,6
33,[293.66025977  68.12814447 322.45018574 147.16150695],person,8
33,[402.70892876  57.96986428 440.67269895 104.30769542],person,9
33,[245.13707773 156.98457754 328.78100051 240.97542697],dining table,11
34,[238.74775464  60.75619466 270.96701095 140.        ],person,1
34,[250.43911971 157.99419866 325.1223332  236.73583848],chair,2
34,[176.05138043 196.68553223 242.5959596  312.57385335],chair,3
34,[ 79.48827528 134.18095528 137.7906538  235.16182489],person,4
34,[322.4193229   62.80491469 363.32994394 142.35143979],person,6
34,[293.23492845  68.12618435 322.45481793 146.98105387],person,8
34,[403.37698901  58.00261124 440.81205253 103.43944916],person,9
34,[244.57478984 156.986234   328.07182418 240.98678179],dining table,11
35,[237.8664355   60.27288557 270.8405613  140.66226094],person,1
35,[250.5227785  157.99486203 325.26628728 236.8929537 ],chair,2
35,[176.03076742 196.83024958 242.87142852 313.59450552],chair,3
35,[ 79.74676399 134.01481185 138.03036822 235.76583107],person,4
35,[324.30865707  62.85076257 364.1440418  141.44467361],person,6
35,[293.0178487   70.7878831  321.21668834 145.58707415],person,8
35,[405.02183577  57.3458902  442.17272879 102.44675285],person,9
35,[244.68778063 156.98779756 328.14098935 240.99159656],dining table,11
36,[237.82910492  60.09088937 271.1476107  140.90945799],person,1
36,[250.56565387 157.99546422 324.65564805 236.2936344 ],chair,2
36,[176.28242838 196.89259839 242.05915251 312.00911546],chair,3
36,[ 80.13120806 133.95679682 137.83211925 235.33217622],person,4
36,[324.64883406  62.21381468 364.83242698 142.43330982],person,6
36,[292.76997854  69.05596548 322.33402448 146.43508362],person,8
36,[403.25772998  57.76739196 441.07602107 102.74872424],person,9
36,[244.74404694 156.98921535 327.498295   240.33315486],dining table,11
37,[237.5562221   59.36369158 271.51437646 141.0006117 ],person,1
37,[250.62160559 157.99602748 325.0536258  236.73118133],chair,2
37,[177.13947101 198.90669278 239.66083124 308.08057379],chair,3
37,[ 80.54358409 135.25936685 136.82648089 233.83987784],person,4
37,[322.65224231  61.326991   363.27178658 142.14714931],person,6
37,[293.42541169  66.45338228 325.30739185 149.38514562],person,8
37,[404.15981225  57.26118784 441.77512086 101.53914474],person,9
37,[244.3099019  156.32771299 328.37851514 241.41064696],dining table,11
38,[237.9776506   60.40331718 271.77723922 141.03185281],person,1
38,[251.57523464 157.99648163 324.93590868 235.57729877],chair,2
38,[176.81416686 199.00469294 238.72534658 307.25432195],chair,3
38,[ 80.82015825 135.76072368 136.3185824  232.59944636],person,4
38,[320.57954199  60.34112998 363.32364889 145.98286589],person,6
38,[294.88637461  63.53843216 327.80175679 149.84429409],person,8
38,[405.59598583  57.07071317 443.63365605 101.75922062],person,9
38,[245.27611814 156.73825694 327.58282678 239.84543643],dining table,11
39,[238.13892101  59.4810243  272.52996326 140.37769913],person,1
39,[250.99946922 157.99693532 324.5040601  235.80592699],chair,2
39,[176.7984532  198.36947932 239.62525193 308.29972639],chair,3
39,[ 79.80978124 133.94375571 137.24152723 234.81061594],person,4
39,[319.38614618  59.97817578 363.12189242 148.06325558],person,6
39,[294.86551976  63.12640594 328.01668744 150.05011968],person,8
39,[405.72778282  57.00199627 444.06218336 101.84850404],person,9
39,[245.32431309 156.90092862 327.60533113 239.90549227],dining table,11
40,[238.04290602  59.13572641 272.95869197 140.78997484],person,1
40,[251.19629299 157.99729024 325.25658989 236.55770808],chair,2
40,[176.26577935 198.13212865 239.83127743 309.35648291],chair,3
40,[ 79.3861834  133.27873772 137.63291023 236.2742765 ],person,4
40,[320.38186541  59.85136334 363.53506192 147.57383445],person,6
40,[296.69102789  64.46758515 329.39497725 150.05962017],person,8
40,[406.57888917  56.97862092 445.40231691 101.89008223],person,9
40,[245.13683894 156.96231707 328.48372499 241.25685303],dining table,11
41,[237.76117051  59.00847725 272.6966933  140.94508979],person,1
41,[252.10884585 157.99759312 324.70434726 234.86617258],chair,2
41,[177.20751527 198.70104951 240.08988992 308.4443099 ],chair,3
41,[ 79.99923874 134.33438796 135.70074795 232.26175152],person,4
41,[321.4108211   59.81974036 363.73746705 146.70319518],person,6
41,[297.16892508  64.07347542 330.36592167 150.75453573],person,8
41,[406.77912718  56.97231532 446.01901209 101.91235092],person,9
41,[245.58146655 156.98562512 327.64103721 239.79167131],dining table,11
42,[237.79590896  59.62270503 272.44268274 141.0021052 ],person,1
42,[252.17003316 157.99791729 325.44712063 235.55461144],chair,2
42,[177.24279594 198.91831305 239.85465323 308.09906845],chair,3
42,[ 80.13202693 134.75954159 135.72298864 232.01887345],person,4
42,[324.20485069  61.79323698 364.71392348 145.03842915],person,6
42,[299.31889058  65.24870607 332.00152848 150.99742544],person,8
42,[406.40055636  56.97222574 446.68880959 102.58810179],person,9
42,[245.99019397 157.65953723 327.74328284 239.89281253],dining table,11
43,[237.77727361  61.18258674 271.70723568 141.02126478],person,1
43,[251.78704558 157.9981497  324.80420015 235.15379861],chair,2
43,[177.21429699 198.99726858 239.14490492 307.31188165],chair,3
43,[ 79.66109074 134.25078892 135.58913295 231.93645102],person,4
43,[326.09727926  63.23279071 364.94228268 143.04994835],person,6
43,[300.86957205  67.02569758 332.52839454 150.42077008],person,8
43,[406.0922119   56.97393492 446.43357869 102.18755991],person,9
43,[245.78923082 157.24642516 328.13510392 239.93450964],dining table,11
44,[236.58910691  60.44221171 270.60639636 141.02589658],person,1
44,[251.32272021 157.99837612 324.21247712 235.00637049],chair,2
44,[176.86991778 199.02394501 238.54920003 307.02387138],chair,3
44,[ 80.16365078 135.38596641 135.52738016 231.91282316],person,4
44,[326.79530645  63.77029837 365.02143532 142.30832825],person,6
44,[299.25344094  67.03804138 331.5613637  150.19159286],person,8
44,[405.48059194  56.97671656 446.14810176 102.03644112],person,9
44,[245.39020036 157.09002397 327.94285312 239.95299208],dining table,11
45,[235.31074783  58.8448368  269.71633972 141.02595415],person,1
45,[250.63513048 157.99857145 325.82955333 237.60627944],chair,2
45,[176.88104558 199.03115889 238.85537947 307.58924441],chair,3
45,[ 79.94026014 133.82141987 137.25528536 234.57405741],person,4
45,[326.76031176  63.29408627 365.32585503 142.71166397],person,6
45,[298.94440384  64.39004276 332.87044854 150.76449753],person,8
45,[406.54206968  56.97933623 447.38644425 101.98274622],person,9
45,[244.66382939 157.03034618 328.44414837 241.28470537],dining table,11
46,[234.98344842  59.5536829  268.5776382  140.36872961],person,1
46,[251.47618577 158.65183844 325.33681026 236.61615461],chair,2
46,[177.61998573 199.69301779 239.56518156 307.8089689 ],chair,3
46,[ 80.42933077 133.24511003 137.97281881 234.9035971 ],person,4
46,[327.89271484  63.77847992 365.60472486 142.20234939],person,6
46,[299.74321728  66.01202787 333.07979204 149.67153691],person,8
46,[406.61899445  56.9817133  448.16482969 102.62753781],person,9
46,[244.99387554 157.00798031 328.68697315 241.12934799],dining table,11
47,[235.21365148  59.83337213 268.46568749 140.11355802],person,1
47,[250.94489157 158.24214132 326.00374058 237.54986578],chair,2
47,[177.71898926 199.94017523 239.35531948 307.23492278],chair,3
47,[ 79.88041613 133.02674652 137.67415129 235.68072558],person,4
47,[328.03470797  63.29249277 365.9776197  142.68176075],person,6
47,[299.07998989  63.33138992 332.76705    149.23338802],person,8
47,[406.13677501  56.98366189 448.29571846 102.87142471],person,9
47,[245.02020143 156.33985356 329.54086075 241.72606082],dining table,11
48,[235.22276321  59.93958551 268.51941398 140.68235188],person,1
48,[251.66016982 158.74533959 325.33774371 236.58091903],chair,2
48,[178.03650047 200.69215396 238.99480429 306.35957087],chair,3
48,[ 79.75425427 132.94968585 137.47002183 235.97047521],person,4
48,[329.08486501  63.77094706 367.08498482 143.52528359],person,6
48,[299.28540384  63.01250169 333.08822886 149.20924564],person,8
48,[405.53554658  57.6439341  447.42815116 102.96424534],person,9
48,[244.77387328 156.0892413  330.11681544 242.60413081],dining table,11
49,[235.88387344  60.63973996 268.55670043 140.23651972],person,1
49,[251.61524636 158.2734387  327.39181268 238.19490314],chair,2
49,[177.04986979 198.96703564 240.63149631 309.37326269],chair,3
49,[ 79.93960459 133.58357437 136.49839845 234.10193046],person,4
49,[328.46367094  63.2891868  365.85515984 143.18585177],person,6
49,[307.70581242  60.60748196 344.63351634 149.81621896],person,8
49,[405.87433524  57.89623819 447.17667528 102.33562233],person,9
